r         V1

19.000000 0.856075
19.000000 0.856167
19.000000 0.856483
19.000000 0.856391
19.000000 0.856294
19.000000 0.856021
19.000000 0.856267
19.000000 0.856430
19.000000 0.856466
19.000000 0.856393
19.000000 0.856353
19.000000 0.856055
19.000000 0.856385
19.000000 0.856063
19.000000 0.856491
19.000000 0.856429
19.000000 0.856338
19.000000 0.856482
19.000000 0.856388
19.000000 0.856072
19.000000 0.856381
19.000000 0.856025
19.000000 0.856197
19.000000 0.856402
19.000000 0.856399
19.000000 0.856047
19.000000 0.856026
19.000000 0.856213
19.000000 0.856491
19.000000 0.856402
19.000000 0.856170
19.000000 0.855998
19.000000 0.856241
19.000000 0.856218
19.000000 0.856417
19.000000 0.856404
19.000000 0.856317
19.000000 0.856167
19.000000 0.856428
19.000000 0.856007
19.000000 0.856444
19.000000 0.856441
19.000000 0.856375
19.000000 0.856460
19.000000 0.856433
19.000000 0.855996
19.000000 0.856308
19.000000 0.856076
19.000000 0.856115
19.000000 0.856396
19.000000 0.856257
19.000000 0.856052
19.000000 0.855990
19.000000 0.856247
19.000000 0.856460
19.000000 0.856409
19.000000 0.856220
19.000000 0.856038
19.000000 0.856205
19.000000 0.856086
19.000000 0.856362
19.000000 0.856415
19.000000 0.856371
19.000000 0.856267
19.000000 0.856461
19.000000 0.856103
19.000000 0.856388
19.000000 0.856449
19.000000 0.856398
19.000000 0.856428
19.000000 0.856470
19.000000 0.856096
19.000000 0.856418
19.000000 0.856138
19.000000 0.856023
19.000000 0.856400
19.000000 0.856304
19.000000 0.856180
19.000000 0.855995
19.000000 0.856270
19.000000 0.856355
19.000000 0.856432
19.000000 0.856284
19.000000 0.856231
19.000000 0.856156
19.000000 0.856180
19.000000 0.856310
19.000000 0.856436
19.000000 0.856399
19.000000 0.856345
19.000000 0.856490
19.000000 0.856189
19.000000 0.856320
19.000000 0.856437
19.000000 0.856409
19.000000 0.856386
19.000000 0.856496
19.000000 0.856189
19.000000 0.856447
19.000000 0.856133
19.000000 0.856036
19.000000 0.856404
19.000000 0.856342
19.000000 0.856072
19.000000 0.856003
19.000000 0.856281
19.000000 0.856239
19.000000 0.856439
19.000000 0.856339
19.000000 0.856269
19.000000 0.856098
19.000000 0.856083
19.000000 0.856236
19.000000 0.856443
19.000000 0.856422
19.000000 0.856418
19.000000 0.856493
19.000000 0.856264
19.000000 0.856245
19.000000 0.856484
19.000000 0.856044
19.000000 0.856334
19.000000 0.856512
19.000000 0.856273
19.000000 0.856498
19.000000 0.856111
19.000000 0.856107
19.000000 0.856386
19.000000 0.856371
19.000000 0.856179
19.000000 0.856052
19.000000 0.856280
19.000000 0.856091
19.000000 0.856500
